sno,district,mandal,village,lat_gis,long_gis,gwl,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,19.6683,78.5247,5.09,postmonsoon 2018 ,8.28,745,476.8,0,220,60,0.44,42.27681818,46,49,4,48,38.896,279.9342105,1.273327902,C2S1,-1.198684211,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,5.1,postmonsoon 2018 ,8.29,921,589.44,0,230,80,0.56,100.6590909,68,42,5,56,63.206,399.8930921,0.913165517,C3S1,-3.397861842,P.S.
3,ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,4.98,postmonsoon 2018 ,7.69,510,326.4,0,200,30,0.66,41.47154545,44,45,2,24,38.896,219.9342105,1.319283964,C2S1,-0.398684211,P.S.
4,ADILABAD,Jainath,Jainath,19.730555,78.64,5.75,postmonsoon 2018 ,8.09,422,270.08,0,160,10,0.58,10.66986364,35,27,1,32,19.448,159.9671053,0.928155164,C2S1,0.000657895,P.S.
5,ADILABAD,Narnoor,Narnoor,19.495665,78.852654,2.15,postmonsoon 2018 ,8.21,2321,1485.44,0,300,340,2.56,128.8436364,280,298,5,56,92.378,519.84375,5.682664477,C4S2,-4.396875,P.S.
6,ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,8.8,postmonsoon 2018 ,8.29,1030,659.2,0,340,60,0.61,66.435,43,73,22,80,34.034,339.9424342,1.72144176,C3S1,0.001151316,P.S.
7,ADILABAD,Talamadugu,Talamadugu,19.6334,78.3969,3.95,postmonsoon 2018 ,7.62,2129,1362.56,0,340,330,0.65,193.2654545,143,162,13,88,126.412,739.7861842,2.589608252,C3S1,-7.995723684,P.S.
8,ADILABAD,Tamsi,Tamsi,19.6811,78.4268,3.7,postmonsoon 2018 ,8.31,982,628.48,30,210,40,1.8,144.9490909,70,85,5,48,43.758,299.9259868,2.133949028,C3S1,-1.198519737,P.S.
9,ADILABAD,Utnoor,Utnoor,19.3789,78.7685,3.12,postmonsoon 2018 ,8.22,2420,1548.8,0,420,290,0.53,134.8831818,268,321,6,48,97.24,519.8355263,6.121307804,C4S2,-1.996710526,P.S.
10,BHADRADRI,Annapureddypalli,Annapureddypalli,17.354519,80.826104,15.6,postmonsoon 2018 ,8.05,250,160,0,57.63929176,30,0.07,24.3595,4,10.20021285,3.2,24,9.724,99.98355263,0.443523991,C2S1,-0.846885217,P.S.
11,BHADRADRI,Ashwapuram,Aswapuram,17.841678,80.809241,5.59,postmonsoon 2018 ,7.97,1840,1177.6,0,207.8719019,380,0.59,159.444,37,150.3975766,1.9,64,106.964,599.8190789,2.669948378,C3S1,-7.83894354,P.S.
12,BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,5.36,postmonsoon 2018 ,7.93,1550,992,0,547.1956631,140,0.9,11.29395,13,190.9923317,6,24,72.93,359.8766447,4.377349903,C3S1,3.746380368,U.S.
13,BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,6.02,postmonsoon 2018 ,8.5,1390,889.6,60,299.9504311,170,0.71,70.864,30,161.8440782,8,24,68.068,339.8848684,3.816832154,C3S1,0.401311253,P.S.
14,BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,11.75,postmonsoon 2018 ,8,2520,1612.8,0,240.9818024,280,0.63,735.214,18,235.1246184,17,24,165.308,739.7203947,3.758689678,C4S1,-9.974771846,P.S.
15,BHADRADRI,Dummugudem,Bandirevu,17.92,80.92,2.68,postmonsoon 2018 ,8.66,869,556.16,40,249.5312086,90,1.03,7.9722,7,72.64980488,0.77,40,43.758,279.9259868,1.887926173,C3S1,0.192104435,P.S.
16,BHADRADRI,Gundala,Kanchanapalli,17.79,80.42,1.6,postmonsoon 2018 ,8.24,782,500.48,0,114.2435835,60,0.29,219.2355,11,22.59306207,67.13,56,29.172,259.9506579,0.609258784,C3S1,-2.914141488,P.S.
17,BHADRADRI,Julurpadu,P. Narsapuram,17.438169,80.520318,16.22,postmonsoon 2018 ,8.63,2880,1843.2,60,500.1277753,480,0.73,210.3775,18.25,326.4744644,19.5,32,155.584,719.7368421,5.290960448,C4S2,-3.192181337,P.S.
18,BHADRADRI,Karakagudem,Karakagudem,18.034655,80.568147,2.58,postmonsoon 2018 ,7.18,490,313.6,0,177.4579446,40,1.11,0.4429,8,29.8891904,17.6,32,19.448,159.9671053,1.027474311,C2S1,0.349816786,P.S.
19,BHADRADRI,Laxmidevipalli,Laxmidevipalli,17.573,80.619,4.34,postmonsoon 2018 ,7.84,1010,646.4,0,248.2682761,110,0.47,95.2235,19,81.68477438,9.8,72,34.034,319.9424342,1.985534124,C3S1,-1.433483162,P.S.
20,BHADRADRI,Manuguru,Pagideru,17.97,80.73,3.59,postmonsoon 2018 ,8.93,460,294.4,40,142.3407799,30,0.47,0.8858,2.25,39.99707701,35.47,32,4.862,99.99177632,1.739074858,C2S1,1.646980071,MR
21,BHADRADRI,Palwancha,REGELLA,17.95,80.58,4.22,postmonsoon 2018 ,7.79,1081,691.84,0,153.5363021,160,0.26,141.728,40,85.27975782,16.1,64,43.758,339.9259868,2.011064218,C3S1,-3.727793695,P.S.
22,BHADRADRI,Tekulapalli,Bethampudi,17.56,80.45,2.75,postmonsoon 2018 ,8.02,2080,1331.2,0,208.1390606,360,0.49,335.2753,41.75,68.17983978,1.9,120,145.86,899.7532895,0.98824908,C3S1,-13.83228458,P.S.
23,BHADRADRI,Tekulapalli,Mutyalampadu,17.54,80.5,5.38,postmonsoon 2018 ,8.57,1290,825.6,40,352.8490341,130,0.98,57.35555,15.5,193.8426385,7.9,40,29.172,219.9506579,5.682753839,C3S2,3.457967525,U.S.
24,BHADRADRI,Yellandu,Komararam,17.71,80.32,4.36,postmonsoon 2018 ,8.84,991,634.24,60,242.0656571,110,1.5,18.136755,18,73.11603375,1.23,72,38.896,339.9342105,1.724198853,C3S1,-0.757371069,P.S.
25,BHUPALPALLY,Ghanpur Mulug,Chelpur(D),18.368545,79.853503,4.53,postmonsoon 2018 ,8.02,421,269.44,0,110,20,0.27,3.422409091,57,27,2,24,19.448,139.9671053,0.992254181,C2S1,-0.599342105,P.S.
26,BHUPALPALLY,Kataram,Shankarampally 125(D),18.6022,79.8983,20.82,postmonsoon 2018 ,7.71,404,258.56,0,110,40,0.36,22.145,14,16,4,24,24.31,159.9588816,0.550032013,C2S1,-0.999177632,P.S.
27,BHUPALPALLY,Mahadevpur,Ambatipalli,18.695678,80.061858,21.57,postmonsoon 2018 ,8.1,368,235.52,0,110,30,0.14,29.99640909,14,22,3,32,14.586,139.9753289,0.808479657,C2S1,-0.599506579,P.S.
