sno,district,mandal,village,lat_gis,long_gis,gwl,season,pH,EC,TDS,CO_-2 ,HCO_ - ,Cl -,F -,NO3- ,SO4-2,Na+,K+,Ca+2,Mg+2,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,19.6683,78.5247,6.45,post monsoon 2019,8.32,2355,1507.2,30,320,340,0.64,66.435,377,273,113,80,82.654,539.8601974,5.108508925,C4S2,-3.797203947,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,3.85,post monsoon 2019,8.3,565,361.6,20,180,40,2.21,38.04913636,52,89,14,48,4.862,139.9917763,3.196981731,C2S1,1.200164474,P.S.
3,ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,4.45,post monsoon 2019,8.12,766,490.24,0,190,20,0.55,41.27022727,43,39,10,40,24.31,199.9588816,1.199130423,C3S1,-0.199177632,P.S.
4,ADILABAD,Jainath,Jainath,19.730555,78.64,3.95,post monsoon 2019,7.09,555,355.2,0,220,20,0.48,14.09227273,31,40,5,40,24.31,199.9588816,1.229877357,C2S1,0.400822368,P.S.
5,ADILABAD,Narnoor,Narnoor,19.495665,78.852654,2.15,post monsoon 2019,7.97,735,470.4,0,340,30,1.08,18.92390909,28,44,16,72,34.034,319.9424342,0.9965982,C2S1,0.401151316,P.S.
6,ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,6.8,post monsoon 2019,8.31,875,560,60,200,80,0.42,49.72559091,47,66,17,64,34.034,299.9424342,1.631798632,C3S1,-0.798848684,P.S.
7,ADILABAD,Talamadugu,Talamadugu,19.6334,78.3969,4.95,post monsoon 2019,7.94,2080,1331.2,0,210,370,0.49,143.7411818,155,163,13,120,82.654,639.8601974,2.801671553,C3S1,-8.597203947,P.S.
8,ADILABAD,Tamsi,Tamsi,19.6811,78.4268,4.25,post monsoon 2019,8.14,585,374.4,0,260,30,0.83,13.48831818,10,28,4,48,34.034,259.9424342,0.755077631,C2S1,0.001151316,P.S.
9,ADILABAD,Utnoor,Utnoor,19.3789,78.7685,2.75,post monsoon 2019,7.86,1285,822.4,0,250,210,0.12,102.0683182,105,98,20,96,63.206,499.8930921,1.905722546,C3S1,-4.997861842,P.S.
10,BHADRADRI,Annapureddypalli,Annapureddypalli,17.354519,80.826104,14.85,post monsoon 2019,7.35,274,175.36,,60,40,0.04,1.24012,5,12.31,2.26,16,14.586,99.97532895,0.535283425,C2S1,-0.799506579,P.S.
11,BHADRADRI,Ashwapuram,Aswapuram,17.841678,80.809241,3.77,post monsoon 2019,8.28,1358,869.12,,350,130,0.72,184.6893,15,115,30.07,32,82.654,419.8601974,2.440156336,C3S1,-1.397203947,P.S.
