sno,district,mandal,village,lat_gis,long_gis,gwl,season,,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,19.6683,78.5247,7.1,Post-monsoon 2020,,8.01,1477,945.28,0,390,220,0.65,6.442181818,33,171,9,24,72.93,359.8766447,3.919146004,C3S1,0.602467105,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,3.35,Post-monsoon 2020,,7.77,823,526.72,0,250,50,0.66,97.438,13.5,70,3,16,53.482,259.9095395,1.887813529,C3S1,-0.198190789,P.S.
3,ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,5.05,Post-monsoon 2020,,8.21,745,476.8,0,240,70,0.49,41.47154545,10.5,65,3,16,48.62,239.9177632,1.824543906,C2S1,0.001644737,P.S.
4,ADILABAD,Jainath,Jainath,19.730555,78.64,2.1,Post-monsoon 2020,,8.3,433,277.12,20,130,40,0.42,15.90413636,7.25,31,1,16,29.172,159.9506579,1.065714421,C2S1,-0.199013158,P.S.
5,ADILABAD,Narnoor,Narnoor,19.495665,78.852654,1.38,Post-monsoon 2020,,7.67,710,454.4,0,270,50,2.28,4.026363636,14.5,129,2,32,5,82.87828947,6.160862054,C2S1,3.742434211,U.S.
6,ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,6.25,Post-monsoon 2020,,7.96,850,544,0,270,80,0.39,45.90054545,11.75,70,2,32,48.62,279.9177632,1.819093301,C3S1,-0.198355263,P.S.
7,ADILABAD,Talamadugu,Talamadugu,19.6334,78.3969,3.89,Post-monsoon 2020,,8.07,1428,913.92,0,360,150,0.16,140.3187727,31.25,136,4,40,77.792,419.8684211,2.88572184,C3S1,-1.197368421,P.S.
8,ADILABAD,Tamsi,Tamsi,19.6811,78.4268,3.6,Post-monsoon 2020,,7.44,893,571.52,0,230,70,1.38,132.2660455,16.75,71,3,24,58.344,299.9013158,1.782548385,C3S1,-1.398026316,P.S.
9,ADILABAD,Utnoor,Utnoor,19.3789,78.7685,2,Post-monsoon 2020,,7.81,1307,836.48,0,370,170,1.04,23.55422727,27.25,136,5,32,68.068,359.8848684,3.116946004,C3S1,0.202302632,P.S.
10,BHADRADRI,Annapureddypalli,Annapureddypalli,17.354519,80.826104,12.7,Post-monsoon 2020,,8.15,443,283.52,0,80,70,0.0431,46.411491,5,16.97,4.44,64,4.862,179.9917763,0.549955658,C2S1,-1.999835526,P.S.
11,BHADRADRI,Ashwapuram,Aswapuram,17.841678,80.809241,6.62,Post-monsoon 2020,,8.54,1032,660.48,30,160,140,0.217,95.53353,29,83.17,16.14,88,19.448,299.9671053,2.087863247,C3S1,-2.199342105,P.S.
12,BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,1.67,Post-monsoon 2020,,8.17,1373,878.72,0,440,110,0.792,76.53312,21,83.67,6.16,88,68.068,499.8848684,1.627072622,C3S1,-1.197697368,P.S.
13,BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,3.25,Post-monsoon 2020,,9.23,388,248.32,60,100,20,0.233,0.296743,8,16.53,2.69,24,24.31,159.9588816,0.568251824,C2S1,0.000822368,P.S.
14,BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,3.4,Post-monsoon 2020,,8.17,3666,2346.24,0,660,480,0.346,535.909,49,396.6,3.9,56,204.204,979.6546053,5.509198006,C4S2,-6.393092105,P.S.
15,BHADRADRI,Dummugudem,Bandirevu,17.92,80.92,2.41,Post-monsoon 2020,,8.56,882,564.48,30,330,30,1.54,20.174095,8,88.89,0.97,24,43.758,239.9259868,2.495091205,C3S1,2.401480263,MR
16,BHADRADRI,Gundala,Kanchanapalli,17.79,80.42,1.18,Post-monsoon 2020,,8.24,805,515.2,0,150,80,0.211,140.17785,14,20.9,72.36,72,19.448,259.9671053,0.563584773,C3S1,-2.199342105,P.S.
17,BHADRADRI,Julurpadu,P. Narsapuram,17.438169,80.520318,8.45,Post-monsoon 2020,,8.48,4340,2777.6,20,800,790,1.21,210.20034,46,748.1,12.1,8,131.274,559.7779605,13.7475061,C4S3,5.204440789,U.S.
18,BHADRADRI,Karakagudem,Karakagudem,18.034655,80.568147,1.16,Post-monsoon 2020,,7.67,687,439.68,0,270,40,0.851,0.713069,9,44.94,17.52,56,19.448,219.9671053,1.317426401,C2S1,1.000657895,P.S.
19,BHADRADRI,Laxmidevipalli,Laxmidevipalli,17.573,80.619,4.36,Post-monsoon 2020,,7.91,1242,794.88,0,330,150,0.403,98.7667,14,81.1,13.25,104,48.62,459.9177632,1.644193498,C3S1,-2.598355263,P.S.
20,BHADRADRI,Manuguru,Pagideru,17.97,80.73,0.87,Post-monsoon 2020,,8.12,1638,1048.32,0,290,340,0.335,0.097438,23,178.8,59.8,56,48.62,339.9177632,4.216506249,C3S1,-0.998355263,P.S.
21,BHADRADRI,Palwancha,REGELLA,17.95,80.58,1.97,Post-monsoon 2020,,8.64,1414,904.96,50,550,70,1.24,0.150586,14,161.3,15.1,64,48.62,359.9177632,3.696620698,C3S1,4.801644737,U.S.
22,BHADRADRI,Tekulapalli,Bethampudi,17.56,80.45,8.04,Post-monsoon 2020,,8.18,1565,1001.6,0,330,190,0.649,162.27856,28,273.7,3.9,8,43.758,199.9259868,8.416128101,C3S2,2.601480263,U.S.
23,BHADRADRI,Tekulapalli,Mutyalampadu,17.54,80.5,3.78,Post-monsoon 2020,,8.09,1600,1024,0,560,120,0.784,52.12933,15,282.3,9.4,24,29.172,179.9506579,9.149688794,C3S2,7.600986842,U.S.
24,BHADRADRI,Yellandu,Komararam,17.71,80.32,1.14,Post-monsoon 2020,,8.1,647,414.08,0,260,20,2.53,15.802672,10,10.48,14.43,72,24.31,279.9588816,0.272324253,C2S1,-0.399177632,P.S.
25,BHUPALPALLY,Ghanpur Mulug,Chelpur(D),18.368545,79.853503,5.24,Post-monsoon 2020,,7.94,565,361.6,0,150,70,0.31,23.95686364,47.75,16,4,64,29.172,279.9506579,0.415768326,C2S1,-2.599013158,P.S.
26,BHUPALPALLY,Kataram,Shankarampally 125(D),18.6022,79.8983,23.12,Post-monsoon 2020,,7.67,372,238.08,0,130,60,0.42,24.76213636,3.25,27,1,16,34.034,179.9424342,0.875123069,C2S1,-0.998848684,P.S.
27,BHUPALPALLY,Mahadevpur,Ambatipalli,18.695678,80.061858,20.19,Post-monsoon 2020,,7.99,261,167.04,0,100,40,0.29,14.09227273,4.25,14,2,56,5,140,0.51444172,C2S1,-0.8,P.S.
28,BHUPALPALLY,Regonda,Regonda,18.24,79.7775,3.29,Post-monsoon 2020,,7.14,1261,807.04,0,200,260,1.03,44.89395455,23.25,28,3,64,102.102,579.8273026,0.505569498,C3S1,-7.596546053,P.S.
